iter	Passed	Remaining
162	29892	336887
163	30081	336768
164	30257	336500
165	30437	336283
166	30615	336036
167	30791	335769
168	30973	335579
169	31148	335306
170	31327	335073
171	31500	334779
172	31689	334667
173	31866	334412
174	32045	334186
175	32232	334049
176	32407	333777
177	32588	333570
178	32768	333357
179	32956	333226
180	33136	333009
181	33315	332786
182	33504	332665
183	33682	332430
184	33863	332226
185	34038	331962
186	34233	331901
187	34414	331692
188	34587	331420
189	34768	331216
190	34946	330989
191	35144	330948
192	35320	330697
193	35498	330467
194	35671	330186
195	35850	329966
196	36022	329692
197	36203	329486
198	36396	329401
199	36570	329136
200	36745	328880
201	36916	328589
202	37093	328358
203	37265	328079
204	37443	327858
205	37618	327608
206	37812	327525
207	37996	327352
208	38179	327175
209	38356	326947
210	38538	326752
211	38719	326559
212	38904	326393
213	39080	326154
214	39259	325945
215	39448	325812
216	39624	325578
217	39803	325364
218	39978	325119
219	40158	324915
220	40329	324646
221	40516	324496
222	40697	324304
223	40876	324090
224	41052	323861
225	41229	323636
226	41416	323483
227	41593	323263
228	41787	323167
229	41976	323034
230	42154	322819
231	42343	322690
232	42524	322489
233	42702	322272
234	42895	322173
235	43077	321986
236	43255	321771
237	43442	321623
238	43627	321458
239	43808	321259
240	43983	321026
241	44172	320892
242	44356	320716
243	44528	320456
244	44712	320287
245	44894	320102
246	45074	319902
247	45252	319688
248	45428	319458
249	45616	319314
250	45797	319124
251	45974	318899
252	46154	318699
253	46328	318463
254	46504	318239
255	46681	318020
256	46869	317873
257	47048	317670
258	47223	317440
259	47404	317242
260	47580	317021
261	47761	316827
262	47933	316577
263	48124	316454
264	48300	316229
265	48476	316008
266	48661	315841
267	48836	315616
268	49021	315451
269	49197	315228
270	49380	315053
271	49564	314879
272	49739	314652
273	49916	314435
274	50092	314216
275	50261	313949
276	50433	313704
277	50619	313550
278	50806	313399
279	50985	313197
280	51159	312965
281	51338	312767
282	51521	312586
283	51704	312408
284	51875	312162
285	52050	311936
286	52232	311756
287	52408	311539
288	52602	311426
289	52786	311259
290	52966	311064
291	53146	310869
292	53323	310656
293	53506	310481
294	53682	310265
295	53856	310036
296	54042	309878
297	54224	309699
298	54421	309603
299	54596	309381
300	54771	309158
301	54949	308955
302	55125	308737
303	55300	308518
304	55481	308333
305	55651	308082
306	55831	307892
307	56020	307750
308	56196	307534
309	56368	307296
310	56555	307143
311	56733	306944
312	56916	306767
313	57098	306585
314	57291	306465
315	57467	306248
316	57649	306069
317	57839	305929
318	58015	305719
319	58196	305529
320	58379	305353
321	58573	305237
322	58745	305002
323	58928	304825
324	59112	304658
325	59291	304457
326	59473	304281
327	59666	304151
328	59845	303957
329	60023	303753
330	60200	303547
331	60391	303411
332	60564	303187
333	60744	302993
334	60931	302839
335	61110	302640
336	61293	302465
337	61470	302260
338	61641	302026
339	61822	301839
340	62000	301637
341	62178	301438
342	62361	301261
343	62544	301087
344	62719	300873
345	62905	300710
346	63087	300529
347	63268	300344
348	63453	300179
349	63624	299942
350	63802	299744
351	63976	299526
352	64151	299313
353	64337	299152
354	64515	298952
355	64685	298714
356	64867	298534
357	65045	298337
358	65221	298129
359	65412	297988
360	65588	297782
361	65765	297581
362	65952	297424
363	66125	297202
364	66298	296982
365	66486	296828
366	66675	296676
367	66849	296461
368	67041	296325
369	67214	296108
370	67390	295901
371	67581	295758
372	67755	295543
373	67931	295339
374	68118	295179
375	68300	295001
376	68480	294812
377	68667	294653
378	68867	294551
379	69053	294386
380	69232	294191
381	69412	294002
382	69599	293846
383	69783	293673
384	69964	293488
385	70143	293294
386	70328	293125
387	70518	292978
388	70693	292769
389	70872	292574
390	71056	292405
391	71238	292221
392	71423	292053
393	71600	291852
394	71775	291643
395	71947	291423
396	72134	291264
397	72310	291059
398	72496	290895
399	72674	290697
400	72851	290496
401	73032	290313
402	73211	290120
403	73388	289920
404	73564	289716
405	73745	289532
406	73920	289326
407	74105	289156
408	74296	289009
409	74477	288827
410	74651	288615
411	74829	288419
412	75002	288204
413	75190	288046
414	75371	287865
415	75553	287683
416	75734	287501
417	75926	287357
418	76099	287143
419	76284	286976
420	76463	286783
421	76649	286618
422	76835	286454
423	77012	286255
424	77197	286086
425	77375	285889
426	77555	285700
427	77737	285523
428	77926	285368
429	78101	285161
430	78298	285037
431	78512	284969
432	78698	284803
433	78877	284611
434	79053	284410
435	79228	284205
436	79418	284052
437	79601	283876
438	79783	283693
439	79959	283494
440	80145	283327
441	80326	283142
442	80504	282946
443	80711	282855
444	80901	282700
445	81105	282595
446	81297	282448
447	81506	282362
448	81702	282228
449	81884	282048
450	82079	281908
451	82265	281742
452	82450	281569
453	82635	281398
454	82824	281237
455	83012	281078
456	83196	280901
457	83381	280729
458	83571	280572
459	83764	280429
460	83948	280254
461	84145	280121
462	84328	279941
463	84513	279769
464	84696	279589
465	84887	279436
466	85061	279227
467	85250	279069
468	85444	278922
469	85624	278735
470	85818	278592
471	85996	278394
472	86173	278196
473	86349	277994
474	86523	277785
475	86712	277625
476	86890	277431
477	87076	277259
478	87258	277077
479	87439	276891
480	87620	276705
481	87804	276530
482	87985	276344
483	88164	276152
484	88349	275979
485	88533	275802
486	88716	275622
487	88904	275459
488	89080	275258
489	89258	275061
490	89438	274874
491	89613	274670
492	89815	274549
493	90003	274383
494	90183	274193
495	90358	273991
496	90543	273817
497	90723	273628
498	90899	273428
499	91078	273236
500	91252	273028
501	91425	272818
502	91601	272618
503	91771	272402
504	91956	272227
505	92133	272030
506	92314	271845
507	92496	271662
508	92668	271452
509	92851	271271
510	93047	271130
511	93231	270955
512	93405	270749
513	93593	270582
514	93774	270399
515	93948	270191
516	94134	270023
517	94310	269822
518	94485	269620
519	94671	269449
520	94847	269249
521	95023	269051
522	95209	268880
523	95385	268682
524	95561	268483
525	95746	268307
526	95926	268121
527	96111	267945
528	96293	267763
529	96469	267567
530	96656	267398
531	96847	267239
532	97025	267046
533	97204	266858
534	97395	266698
535	97577	266517
536	97755	266323
537	97947	266168
538	98126	265979
539	98306	265792
540	98487	265606
541	98687	265473
542	98870	265292
543	99059	265129
544	99248	264966
545	99438	264806
546	99633	264658
547	99824	264498
548	100008	264320
549	100196	264155
550	100374	263960
551	100561	263790
552	100743	263607
553	100926	263428
554	101104	263235
555	101285	263050
556	101469	262873
557	101665	262727
558	101858	262573
559	102042	262393
560	102222	262206
561	102417	262056
562	102568	261796
563	102749	261611
564	102927	261418
565	103124	261272
566	103299	261071
567	103479	260885
568	103650	260673
569	103829	260485
570	104009	260297
571	104186	260102
572	104364	259908
573	104538	259707
574	104726	259538
575	104912	259368
576	105095	259188
577	105276	259002
578	105453	258806
579	105633	258621
580	105810	258426
581	105988	258233
582	106168	258046
583	106340	257839
584	106531	257679
585	106725	257526
586	106912	257355
587	107102	257191
588	107273	256982
589	107451	256791
590	107626	256591
591	107823	256445
592	108007	256266
593	108190	256086
594	108375	255912
595	108551	255716
596	108735	255537
597	108920	255362
598	109108	255194
599	109288	255005
600	109470	254823
601	109651	254640
602	109837	254464
603	110008	254258
604	110185	254063
605	110364	253875
606	110540	253679
607	110727	253507
608	110906	253318
609	111082	253121
610	111261	252932
611	111432	252726
612	111621	252558
613	111801	252373
614	111988	252202
615	112186	252054
616	112383	251906
617	112567	251728
618	112743	251532
619	112918	251334
620	113095	251141
621	113281	250967
622	113452	250760
623	113631	250572
624	113820	250405
625	114002	250223
626	114186	250043
627	114369	249864
628	114549	249677
629	114729	249491
630	114909	249304
631	115094	249128
632	115268	248928
633	115447	248740
634	115625	248549
635	115806	248365
636	115993	248192
637	116167	247993
638	116341	247793
639	116514	247593
640	116710	247440
641	116894	247263
642	117073	247073
643	117253	246887
644	117440	246715
645	117630	246550
646	117820	246384
647	118011	246221
648	118209	246072
649	118394	245896
650	118553	245665
651	118728	245468
652	118907	245279
653	119083	245085
654	119275	244924
655	119452	244731
656	119628	244536
657	119809	244353
658	119987	244161
659	120177	243997
660	120355	243805
661	120542	243634
662	120736	243477
663	120909	243276
664	121091	243094
665	121272	242909
666	121461	242740
667	121638	242549
668	121819	242364
669	121998	242175
670	122192	242017
671	122373	241833
672	122555	241650
673	122736	241466
674	122932	241312
675	123104	241109
676	123286	240926
677	123442	240695
678	123624	240512
679	123813	240343
680	123999	240168
681	124180	239985
682	124364	239806
683	124538	239609
684	124724	239434
685	124908	239256
686	125098	239088
687	125275	238896
688	125464	238728
689	125638	238531
690	125815	238340
691	125992	238148
692	126165	237947
693	126342	237756
694	126529	237583
695	126697	237376
696	126876	237187
697	127053	236996
698	127233	236810
699	127427	236651
700	127608	236466
701	127782	236270
702	127956	236072
703	128127	235871
704	128318	235705
705	128488	235500
706	128696	235366
707	128892	235210
708	129083	235044
709	129261	234855
710	129442	234670
711	129619	234479
712	129794	234286
713	129990	234129
714	130170	233943
715	130354	233763
716	130537	233583
717	130723	233409
718	130901	233220
719	131083	233037
720	131268	232860
721	131455	232687
722	131635	232501
723	131815	232316
724	131973	232090
725	132157	231912
726	132334	231721
727	132506	231523
728	132678	231323
729	132855	231132
730	133044	230962
731	133222	230773
732	133405	230592
733	133587	230411
734	133762	230217
735	133948	230041
736	134131	229861
737	134305	229665
738	134486	229482
739	134661	229288
740	134841	229102
741	135024	228922
742	135197	228725
743	135379	228544
744	135560	228360
745	135744	228182
746	135923	227994
747	136093	227793
748	136255	227577
749	136430	227384
750	136616	227208
751	136825	227071
752	137008	226891
753	137205	226735
754	137406	226583
755	137599	226419
756	137803	226274
757	137964	226058
758	138165	225907
759	138352	225733
760	138528	225541
761	138714	225364
762	138908	225203
763	139095	225029
764	139278	224847
765	139460	224665
766	139646	224490
767	139821	224296
768	139972	224064
769	140147	223871
770	140334	223698
771	140514	223512
772	140694	223328
773	140876	223145
774	141029	222917
775	141207	222729
776	141395	222556
777	141565	222356
778	141742	222166
779	141924	221983
780	142100	221792
781	142272	221596
782	142474	221445
783	142654	221259
784	142831	221069
785	143020	220899
786	143198	220710
787	143376	220523
788	143568	220356
789	143744	220165
790	143931	219991
791	144112	219807
792	144287	219615
793	144468	219432
794	144640	219235
795	144812	219038
796	144986	218844
797	145173	218669
798	145352	218483
799	145529	218294
800	145712	218113
801	145856	217874
802	146045	217704
803	146224	217518
804	146407	217337
805	146582	217146
806	146756	216952
807	146944	216779
808	147130	216603
809	147315	216426
810	147499	216247
811	147680	216063
812	147860	215880
813	148044	215700
814	148217	215506
815	148410	215340
816	148598	215167
817	148783	214990
818	148982	214832
819	149159	214644
820	149334	214452
821	149529	214289
822	149714	214112
823	149893	213925
824	150073	213741
825	150248	213549
826	150431	213369
827	150613	213187
828	150794	213003
829	150967	212809
830	151144	212620
831	151314	212421
832	151490	212232
833	151668	212044
834	151857	211872
835	152036	211686
836	152211	211495
837	152386	211305
838	152555	211104
839	152742	210929
840	152898	210712
841	153071	210518
842	153243	210323
843	153423	210139
844	153604	209955
845	153775	209760
846	153953	209573
847	154122	209373
848	154300	209187
849	154487	209012
850	154660	208819
851	154841	208636
852	155019	208449
853	155204	208271
854	155392	208098
855	155583	207929
856	155760	207740
857	155952	207572
858	156150	207412
859	156323	207219
860	156506	207039
861	156683	206850
862	156871	206678
863	157047	206488
864	157220	206294
865	157398	206107
866	157579	205925
867	157759	205742
868	157936	205554
869	158136	205395
870	158314	205209
871	158509	205044
872	158698	204871
873	158893	204706
874	159083	204535
875	159270	204360
876	159450	204176
877	159646	204012
878	159823	203825
879	160020	203661
880	160218	203500
881	160404	203324
882	160594	203152
883	160779	202974
884	160965	202798
885	161147	202616
886	161331	202437
887	161507	202248
888	161686	202062
889	161838	201843
890	162034	201679
891	162226	201510
892	162414	201336
893	162603	201162
894	162784	200979
895	162968	200800
896	163155	200625
897	163344	200452
898	163549	200298
899	163745	200132
900	163923	199946
901	164096	199754
902	164270	199561
903	164457	199386
904	164642	199208
905	164838	199043
906	165013	198852
907	165197	198673
908	165383	198496
909	165562	198311
910	165740	198125
911	165920	197940
912	166117	197776
913	166293	197586
914	166476	197406
915	166670	197239
916	166849	197053
917	167021	196860
918	167205	196679
919	167373	196482
920	167545	196288
921	167717	196095
922	167894	195907
923	168072	195720
924	168252	195536
925	168424	195342
926	168608	195164
927	168771	194959
928	168941	194764
929	169118	194576
930	169290	194384
931	169460	194189
932	169650	194015
933	169833	193835
934	170012	193650
935	170195	193469
936	170368	193278
937	170549	193095
938	170712	192892
939	170882	192697
940	171061	192511
941	171244	192331
942	171420	192143
943	171599	191958
944	171773	191767
945	171962	191594
946	172140	191408
947	172313	191216
948	172498	191039
949	172677	190853
950	172850	190662
951	173021	190468
952	173198	190281
953	173375	190095
954	173566	189923
955	173750	189744
956	173924	189553
957	174103	189369
958	174296	189200
959	174475	189015
960	174656	188832
961	174828	188640
962	175026	188475
963	175178	188262
964	175351	188071
965	175525	187881
966	175700	187692
967	175884	187512
968	176058	187323
969	176210	187110
970	176359	186893
971	176536	186707
972	176681	186486
973	176838	186280
974	177014	186092
975	177188	185902
976	177372	185723
977	177552	185540
978	177734	185359
979	177911	185172
980	178130	185030
981	178326	184863
982	178505	184679
983	178687	184498
984	178851	184298
985	179031	184115
986	179214	183935
987	179388	183745
988	179573	183567
989	179756	183388
990	179945	183214
991	180133	183039
992	180310	182852
993	180501	182680
994	180679	182495
995	180862	182315
996	181042	182131
997	181218	181944
998	181376	181739
999	181553	181553
1000	181739	181376
1001	181909	181183
1002	182094	181004
1003	182273	180821
1004	182449	180633
1005	182626	180447
1006	182809	180267
1007	182958	180054
1008	183121	179854
1009	183276	179646
1010	183460	179468
1011	183624	179270
1012	183807	179089
1013	183986	178905
1014	184182	178738
1015	184358	178551
1016	184535	178366
1017	184714	178182
1018	184890	177995
1019	185077	177819
1020	185258	177637
1021	185443	177459
1022	185621	177275
1023	185799	177089
1024	185987	176915
1025	186163	176728
1026	186320	176524
1027	186499	176339
1028	186685	176163
1029	186857	175972
1030	187044	175796
1031	187228	175617
1032	187378	175406
1033	187528	175195
1034	187710	175015
1035	187903	174844
1036	188079	174658
1037	188258	174474
1038	188436	174290
1039	188625	174115
1040	188799	173927
1041	188969	173736
1042	189152	173556
1043	189322	173364
1044	189502	173181
1045	189656	172975
1046	189840	172796
1047	190024	172618
1048	190206	172437
1049	190385	172253
1050	190563	172069
1051	190732	171877
1052	190915	171696
1053	191085	171505
1054	191254	171313
1055	191438	171134
1056	191614	170948
1057	191784	170756
1058	191964	170574
1059	192132	170381
1060	192307	170195
1061	192477	170003
1062	192657	169821
1063	192835	169636
1064	193016	169455
1065	193194	169271
1066	193367	169083
1067	193542	168896
1068	193724	168716
1069	193897	168527
1070	194055	168326
1071	194230	168139
1072	194408	167955
1073	194590	167775
1074	194783	167604
1075	194959	167418
1076	195112	167213
1077	195296	167034
1078	195472	166849
1079	195644	166660
1080	195827	166480
1081	195996	166289
1082	196172	166103
1083	196350	165919
1084	196527	165735
1085	196698	165545
1086	196876	165361
1087	197052	165176
1088	197229	164991
1089	197416	164815
1090	197598	164635
1091	197770	164446
1092	197958	164271
1093	198135	164086
1094	198315	163904
1095	198490	163718
1096	198670	163536
1097	198854	163357
1098	199035	163176
1099	199206	162987
1100	199382	162802
1101	199571	162626
1102	199739	162435
1103	199917	162252
1104	200101	162073
1105	200274	161885
1106	200456	161704
1107	200620	161510
1108	200795	161324
1109	200947	161120
1110	201132	160942
1111	201309	160757
1112	201496	160581
1113	201672	160396
1114	201824	160192
1115	202000	160007
1116	202176	159822
1117	202350	159635
1118	202532	159455
1119	202705	159268
1120	202895	159094
1121	203081	158917
1122	203255	158730
1123	203436	158550
1124	203619	158371
1125	203810	158197
1126	203986	158012
1127	204167	157831
1128	204347	157650
1129	204525	157466
1130	204701	157281
1131	204876	157096
1132	205055	156913
1133	205230	156727
1134	205407	156543
1135	205583	156359
1136	205781	156191
1137	205962	156010
1138	206133	155821
1139	206310	155637
1140	206463	155435
1141	206614	155232
1142	206799	155054
1143	206977	154871
1144	207158	154690
1145	207338	154508
1146	207480	154299
1147	207654	154113
1148	207845	153939
1149	208017	153751
1150	208195	153568
1151	208371	153384
1152	208541	153195
1153	208720	153013
1154	208911	152840
1155	209067	152640
1156	209217	152437
1157	209371	152237
1158	209552	152056
1159	209733	151876
1160	209909	151691
1161	210060	151489
1162	210219	151292
1163	210410	151119
1164	210587	150936
1165	210749	150741
1166	210926	150558
1167	211104	150375
1168	211273	150186
1169	211444	149999
1170	211596	149797
1171	211774	149615
1172	211939	149423
1173	212092	149223
1174	212265	149037
1175	212452	148861
1176	212626	148676
1177	212807	148495
1178	212971	148303
1179	213150	148121
1180	213321	147934
1181	213495	147748
1182	213661	147558
1183	213829	147368
1184	214003	147183
1185	214158	146985
1186	214319	146791
1187	214470	146590
1188	214627	146394
1189	214800	146208
1190	214967	146018
1191	215128	145825
1192	215298	145637
1193	215480	145458
1194	215629	145256
1195	215814	145079
1196	215967	144880
1197	216143	144697
1198	216324	144517
1199	216499	144333
1200	216679	144152
1201	216838	143957
1202	217017	143776
1203	217193	143593
1204	217345	143393
1205	217521	143210
1206	217708	143034
1207	217875	142845
1208	218061	142668
1209	218239	142486
1210	218410	142300
1211	218589	142119
1212	218787	141950
1213	218964	141767
1214	219140	141584
1215	219321	141404
1216	219501	141224
1217	219677	141040
1218	219865	140865
1219	220041	140682
1220	220220	140501
1221	220392	140315
1222	220578	140138
1223	220752	139954
1224	220904	139755
1225	221069	139566
1226	221252	139387
1227	221434	139207
1228	221615	139028
1229	221783	138840
1230	221967	138661
1231	222130	138470
1232	222324	138298
1233	222505	138119
1234	222685	137938
1235	222868	137760
1236	223035	137571
1237	223188	137374
1238	223359	137188
1239	223517	136994
1240	223697	136814
1241	223872	136630
1242	224050	136449
1243	224238	136273
1244	224389	136075
1245	224545	135880
1246	224708	135690
1247	224899	135516
1248	225086	135340
1249	225265	135159
1250	225429	134969
1251	225580	134771
1252	225757	134589
1253	225934	134407
1254	226121	134231
1255	226295	134047
1256	226444	133849
1257	226619	133666
1258	226784	133476
1259	226935	133279
1260	227107	133094
1261	227287	132914
1262	227459	132729
1263	227630	132544
1264	227806	132361
1265	227996	132187
1266	228179	132009
1267	228364	131831
1268	228509	131631
1269	228693	131453
1270	228866	131269
1271	229027	131078
1272	229178	130882
1273	229366	130706
1274	229561	130534
1275	229712	130338
1276	229889	130156
1277	230035	129957
1278	230221	129781
1279	230392	129595
1280	230539	129397
1281	230719	129217
1282	230884	129029
1283	231032	128831
1284	231176	128631
1285	231324	128433
1286	231503	128253
1287	231679	128071
1288	231832	127876
1289	232020	127701
1290	232171	127505
1291	232326	127311
1292	232479	127117
1293	232658	126937
1294	232830	126753
1295	232983	126558
1296	233160	126377
1297	233357	126207
1298	233541	126029
1299	233716	125847
1300	233902	125671
1301	234055	125476
1302	234214	125285
1303	234384	125100
1304	234542	124909
1305	234712	124724
1306	234884	124541
1307	235056	124356
1308	235220	124169
1309	235383	123980
1310	235546	123791
1311	235695	123596
1312	235858	123407
1313	236026	123222
1314	236201	123040
1315	236382	122861
1316	236564	122682
1317	236745	122503
1318	236932	122328
1319	237113	122149
1320	237284	121965
1321	237463	121785
1322	237638	121603
1323	237809	121419
1324	237990	121240
1325	238164	121057
1326	238327	120869
1327	238505	120689
1328	238678	120506
1329	238840	120317
1330	239009	120133
1331	239192	119955
1332	239365	119772
1333	239544	119592
1334	239721	119411
1335	239879	119221
1336	240055	119040
1337	240211	118848
1338	240361	118654
1339	240507	118459
1340	240662	118267
1341	240844	118089
1342	241006	117901
1343	241164	117711
1344	241313	117516
1345	241463	117323
1346	241645	117145
1347	241823	116965
1348	241979	116774
1349	242125	116578
1350	242301	116397
1351	242473	116215
1352	242628	116024
1353	242782	115832
1354	242934	115640
1355	243103	115456
1356	243251	115262
1357	243424	115080
1358	243610	114903
1359	243758	114709
1360	243916	114520
1361	244065	114327
1362	244224	114138
1363	244397	113956
1364	244580	113779
1365	244726	113584
1366	244897	113401
1367	245073	113221
1368	245250	113040
1369	245403	112849
1370	245568	112664
1371	245755	112488
1372	245939	112311
1373	246096	112122
1374	246264	111938
1375	246419	111748
1376	246599	111569
1377	246768	111386
1378	246912	111191
1379	247101	111016
1380	247275	110835
1381	247447	110653
1382	247627	110474
1383	247793	110289
1384	247978	110113
1385	248126	109920
1386	248300	109739
1387	248492	109565
1388	248653	109379
1389	248838	109202
1390	249018	109023
1391	249201	108846
1392	249378	108666
1393	249553	108486
1394	249731	108306
1395	249901	108123
1396	250072	107940
1397	250245	107759
1398	250419	107578
1399	250605	107402
1400	250752	107209
1401	250901	107017
1402	251071	106835
1403	251249	106655
1404	251399	106464
1405	251546	106272
1406	251719	106090
1407	251909	105916
1408	252089	105738
1409	252272	105560
1410	252424	105370
1411	252602	105191
1412	252783	105013
1413	252938	104824
1414	253093	104635
1415	253240	104444
1416	253401	104257
1417	253554	104068
1418	253731	103888
1419	253887	103700
1420	254067	103522
1421	254249	103344
1422	254406	103157
1423	254585	102978
1424	254737	102788
1425	254933	102617
1426	255106	102436
1427	255284	102256
1428	255469	102080
1429	255632	101895
1430	255819	101719
1431	255989	101537
1432	256143	101349
1433	256312	101166
1434	256488	100986
1435	256667	100808
1436	256845	100628
1437	256987	100435
1438	257139	100247
1439	257294	100058
1440	257468	99878
1441	257628	99692
1442	257780	99503
1443	257941	99318
1444	258112	99136
1445	258270	98950
1446	258449	98771
1447	258632	98594
1448	258779	98404
1449	258962	98227
1450	259111	98037
1451	259261	97847
1452	259423	97663
1453	259604	97485
1454	259765	97300
1455	259947	97123
1456	260123	96943
1457	260297	96763
1458	260474	96584
1459	260645	96403
1460	260814	96221
1461	260968	96033
1462	261127	95847
1463	261274	95657
1464	261427	95470
1465	261577	95281
1466	261746	95099
1467	261896	94910
1468	262056	94725
1469	262204	94536
1470	262362	94350
1471	262543	94173
1472	262694	93984
1473	262869	93805
1474	263048	93627
1475	263218	93446
1476	263409	93272
1477	263573	93088
1478	263733	92904
1479	263890	92718
1480	264045	92531
1481	264200	92345
1482	264380	92167
1483	264538	91982
1484	264737	91811
1485	264913	91632
1486	265062	91443
1487	265215	91256
1488	265374	91072
1489	265535	90887
1490	265691	90702
1491	265840	90513
1492	265993	90327
1493	266167	90147
1494	266326	89963
1495	266502	89784
1496	266655	89597
1497	266813	89412
1498	266965	89226
1499	267132	89044
1500	267293	88860
1501	267452	88675
1502	267610	88491
1503	267794	88315
1504	267954	88131
1505	268111	87946
1506	268270	87761
1507	268437	87580
1508	268594	87395
1509	268748	87209
1510	268899	87023
1511	269051	86836
1512	269210	86652
1513	269362	86466
1514	269523	86283
1515	269678	86097
1516	269844	85916
1517	270013	85735
1518	270190	85557
1519	270372	85380
1520	270552	85203
1521	270731	85026
1522	270897	84844
1523	271054	84659
1524	271223	84479
1525	271387	84297
1526	271567	84120
1527	271720	83934
1528	271892	83754
1529	272070	83577
1530	272247	83399
1531	272428	83222
1532	272576	83035
1533	272749	82856
1534	272930	82679
1535	273104	82500
1536	273279	82321
1537	273458	82144
1538	273610	81958
1539	273765	81774
1540	273929	81592
1541	274108	81414
1542	274269	81232
1543	274424	81047
1544	274608	80871
1545	274777	80691
1546	274930	80506
1547	275102	80327
1548	275262	80144
1549	275451	79969
1550	275606	79785
1551	275768	79603
1552	275930	79421
1553	276090	79238
1554	276258	79057
1555	276423	78876
1556	276578	78692
1557	276739	78510
1558	276922	78333
1559	277093	78154
1560	277237	77967
1561	277433	77794
1562	277615	77618
1563	277777	77436
1564	277960	77260
1565	278115	77076
1566	278270	76892
1567	278432	76710
1568	278594	76529
1569	278761	76348
1570	278918	76165
1571	279070	75981
1572	279258	75806
1573	279423	75625
1574	279585	75443
1575	279741	75260
1576	279887	75074
1577	280041	74890
1578	280219	74713
1579	280374	74529
1580	280530	74346
1581	280689	74164
1582	280853	73983
1583	281018	73802
1584	281180	73621
1585	281356	73443
1586	281510	73260
1587	281676	73079
1588	281857	72903
1589	282013	72720
1590	282172	72538
1591	282354	72362
1592	282519	72181
1593	282676	71999
1594	282834	71816
1595	282992	71634
1596	283180	71460
1597	283341	71278
1598	283526	71103
1599	283686	70921
1600	283862	70744
1601	284045	70568
1602	284203	70385
1603	284352	70201
1604	284518	70021
1605	284672	69838
1606	284829	69656
1607	284985	69474
1608	285144	69292
1609	285315	69113
1610	285471	68931
1611	285627	68749
1612	285774	68564
1613	285939	68384
1614	286094	68202
1615	286242	68018
1616	286406	67837
1617	286558	67654
1618	286719	67473
1619	286877	67292
1620	287040	67111
1621	287193	66929
1622	287349	66747
1623	287507	66565
1624	287664	66384
1625	287854	66210
1626	288009	66028
1627	288158	65844
1628	288313	65662
1629	288466	65480
1630	288616	65297
1631	288778	65116
1632	288950	64938
1633	289117	64759
1634	289282	64579
1635	289440	64398
1636	289589	64215
1637	289750	64035
1638	289918	63856
1639	290080	63676
1640	290241	63495
1641	290398	63314
1642	290556	63133
1643	290718	62953
1644	290871	62771
1645	291034	62591
1646	291180	62408
1647	291335	62227
1648	291492	62046
1649	291656	61866
1650	291808	61684
1651	291962	61502
1652	292110	61320
1653	292268	61139
1654	292428	60959
1655	292588	60779
1656	292739	60597
1657	292893	60415
1658	293056	60236
1659	293212	60055
1660	293362	59873
1661	293522	59693
1662	293674	59511
1663	293826	59330
