iter	Logloss
0	0.6013671804
1	0.530511193
2	0.4809644426
3	0.4432177772
4	0.4107561206
5	0.389427872
6	0.3717577793
7	0.35663993
8	0.3436931351
9	0.3312139044
10	0.3210484624
11	0.312883928
12	0.3063022989
13	0.2998056156
14	0.292352531
15	0.2858401398
16	0.2811255996
17	0.2763909885
18	0.2709786708
19	0.2671845948
20	0.2632441802
21	0.2588365485
22	0.2552825502
23	0.2522205845
24	0.2480514382
25	0.2459635008
26	0.2432246062
27	0.2409294172
28	0.2388462153
29	0.2365251556
30	0.2337093013
31	0.2318455173
32	0.2295311752
33	0.2263158091
34	0.2249502863
35	0.2222624021
36	0.2202149993
37	0.2178533564
38	0.2151006266
39	0.2135996004
40	0.2122563556
41	0.2106024529
42	0.2092066051
43	0.2077430553
44	0.2060658352
45	0.2048892354
46	0.2036292183
47	0.2027798705
48	0.2010989671
49	0.1980584668
50	0.1967915182
51	0.1948362739
52	0.1939188651
53	0.1930349551
54	0.1921931461
55	0.191028364
56	0.1900428919
57	0.1882578822
58	0.1867541065
59	0.1858745088
60	0.184630217
61	0.1835909566
62	0.1830762924
63	0.1820798748
64	0.1812936604
65	0.1802227589
66	0.1791291245
67	0.1783574818
68	0.1775644772
69	0.1766831126
70	0.1758066759
71	0.1751006817
72	0.1739735577
73	0.1731893516
74	0.1724101616
75	0.1716162544
76	0.1711674304
77	0.1704048297
78	0.1697979917
79	0.1689761328
80	0.1684482189
81	0.1675859526
82	0.16665805
83	0.1655091828
84	0.1649315529
85	0.1643062005
86	0.1633473574
87	0.1628282965
88	0.1623020042
89	0.1615787043
90	0.1611150579
91	0.1606001625
92	0.1599434609
93	0.1593922791
94	0.1590407731
95	0.1584186366
96	0.1577577159
97	0.1572480499
98	0.1566981687
99	0.1561403071
100	0.1555289764
101	0.155011887
102	0.1544839992
103	0.1540357031
104	0.1536532953
105	0.1532394051
106	0.1528122581
107	0.1523095275
108	0.151924269
109	0.1513851713
110	0.1507982173
111	0.1503481239
112	0.1496964145
113	0.1491393648
114	0.1485062978
115	0.1481250201
116	0.1476472305
117	0.1472090842
118	0.1468242659
119	0.1464557843
120	0.145765801
121	0.1450137086
122	0.1445553571
123	0.1441378589
124	0.1435751947
125	0.1429609791
126	0.1423685673
127	0.1419887882
128	0.1416578816
129	0.1413215365
130	0.1408543676
131	0.1405240827
132	0.1401731973
133	0.1397155963
134	0.1393508097
135	0.1388956267
136	0.1383911314
137	0.1381328708
138	0.1377227141
139	0.1372482646
140	0.1368645132
141	0.1365793485
142	0.1362185909
143	0.1356975175
144	0.1353034232
145	0.1348954563
146	0.1345721108
147	0.1341466781
148	0.1335527945
149	0.1332269643
150	0.1328106457
151	0.1325005485
152	0.1320890448
153	0.1316664898
154	0.1313189101
155	0.1310257475
156	0.1306525661
157	0.130211041
158	0.1298504571
159	0.1294807379
160	0.1292053813
161	0.1288746453
162	0.1284589748
163	0.1280354309
164	0.1277731023
165	0.1275222303
166	0.1271473115
167	0.1269191157
168	0.1265277852
169	0.1261290934
170	0.1257776328
171	0.1254447849
